UBERON_0000483;epithelium
UBERON_0018676;renal nerve plexus
UBERON_0035771;mesenteric plexus
UBERON_0035770;inferior mesenteric nerve plexus
UBERON_0005453;inferior mesenteric ganglion
UBERON_0005488;superior mesenteric plexus
UBERON_0005479;superior mesenteric ganglion
UBERON_0035769;mesenteric ganglion
UBERON_0035772;aortic plexus
UBERON_0035773;abdominal nerve plexus
UBERON_0035774;thoracic aortic plexus
UBERON_0012373;sympathetic nerve plexus
UBERON_0000429;enteric plexus
UBERON_0002439;myenteric nerve plexus
UBERON_0005304;submucous nerve plexus
UBERON_0012374;subserosal plexus
UBERON_0002008;cardiac nerve plexus
UBERON_0002009;pulmonary nerve plexus
UBERON_0002010;celiac nerve plexus
UBERON_0005303;hypogastric nerve
UBERON_0002013;superior hypogastric nerve plexus
UBERON_0002014;inferior hypogastric nerve plexus
UBERON_0002024;internal carotid nerve plexus
UBERON_0011325;pharyngeal nerve plexus
UBERON_0001813;spinal nerve plexus
UBERON_0003725;cervical nerve plexus
UBERON_0005430;ansa cervicalis
UBERON_0008833;great auricular nerve
UBERON_0035647;posterior auricular nerve
UBERON_0035768;coccygeal nerve plexus
UBERON_0001814;brachial nerve plexus
UBERON_0001148;median nerve
UBERON_0016430;palmar branch of median nerve
UBERON_0001492;radial nerve
UBERON_0001493;axillary nerve
UBERON_0002442;axillary nerve trunk
UBERON_0001494;ulnar nerve
UBERON_0003724;musculocutaneous nerve
UBERON_0001815;lumbosacral nerve plexus
UBERON_0034986;sacral nerve plexus
UBERON_0034984;nerve to quadratus femoris
UBERON_0034987;lumbar nerve plexus
UBERON_0001322;sciatic nerve
UBERON_0001323;tibial nerve
UBERON_0015488;sural nerve
UBERON_0035109;plantar nerve
UBERON_0035110;lateral plantar nerve
UBERON_0035111;medial plantar nerve
UBERON_0001324;common fibular nerve
UBERON_0035207;deep fibular nerve
UBERON_0035526;superficial fibular nerve
UBERON_0002004;trunk of sciatic nerve
UBERON_0005465;obturator nerve
UBERON_0011194;ophthalmic plexus
UBERON_0000054;macula
UBERON_0002212;macula of saccule of membranous labyrinth
UBERON_0002214;macula of utricle of membranous labyrinth
UBERON_0000389;lens cortex
UBERON_0000412;dermal papilla
UBERON_0002371;bone marrow
UBERON_0000332;yellow bone marrow
CL_0002092;bone marrow cell
UBERON_0007195;stroma of bone marrow
UBERON_0000957;lamina
UBERON_0000119;cell layer
UBERON_0000120;blood brain barrier
UBERON_0000155;theca cell layer
UBERON_0000156;theca externa
UBERON_0000157;theca interna
UBERON_0001031;sheath of Schwann
UBERON_0004714;septum pellucidum
UBERON_0002742;lamina of septum pellucidum
UBERON_0009857;cavum septum pellucidum
UBERON_0005427;corneal primordium
UBERON_0005426;lens vesicle
UBERON_0005688;lens vesicle cavity
UBERON_0002385;muscle tissue
UBERON_0001135;smooth muscle tissue
UBERON_0002033;arrector muscle of hair
UBERON_0004231;anal region smooth muscle
UBERON_0035103;perineal body smooth muscle muscle tissue
UBERON_0001244;internal anal sphincter
UBERON_0018112;rectum smooth muscle tissue
UBERON_0012497;muscularis mucosae of rectum
UBERON_0003386;smooth muscle of eye
UBERON_0001605;ciliary muscle
UBERON_0004234;iris smooth muscle
UBERON_0001608;dilatator pupillae
UBERON_0001607;sphincter pupillae
CL_0002243;smooth muscle cell of sphincter of pupil
UBERON_0011222;intra-ocular muscle
UBERON_0001606;muscle of iris
UBERON_0002112;smooth muscle of esophagus
UBERON_0004648;esophagus muscularis mucosa
UBERON_0009960;esophagus smooth muscle circular layer
UBERON_0009961;esophagus smooth muscle longitudinal layer
UBERON_0004237;blood vessel smooth muscle
UBERON_0002111;artery smooth muscle tissue
UBERON_0004178;aorta smooth muscle tissue
CL_0002539;aortic smooth muscle cell
UBERON_0004236;arteriole smooth muscle
UBERON_0004297;respiratory system blood vessel smooth muscle
UBERON_0012416;respiratory system arterial smooth muscle
UBERON_0004696;venous system smooth muscle
UBERON_0012418;respiratory system venous smooth muscle
UBERON_0004219;urethra smooth muscle layer
UBERON_0004223;vagina smooth muscle
UBERON_0004225;respiratory system smooth muscle
UBERON_0004233;lower respiratory tract smooth muscle
UBERON_0003387;smooth muscle of trachea
UBERON_0006680;trachealis
UBERON_0004242;bronchus smooth muscle
UBERON_0004241;main bronchus smooth muscle
UBERON_0004515;smooth muscle tissue of bronchiole
UBERON_0004516;smooth muscle tissue of terminal bronchiole
UBERON_0004517;smooth muscle tissue of respiratory bronchiole
UBERON_0004296;respiratory system lymphatic vessel smooth muscle
UBERON_0004226;gastrointestinal system smooth muscle
UBERON_0006676;muscularis mucosa
UBERON_0035840;esophagogastric junction muscularis mucosa
UBERON_0001203;muscularis mucosae of stomach
UBERON_0016501;muscularis mucosae of fundus of stomach
UBERON_0001240;muscularis mucosae of intestine
UBERON_0001210;muscularis mucosae of small intestine
UBERON_0012494;muscularis mucosae of duodenum
UBERON_0016519;muscularis mucosae of jejunum
UBERON_0001239;muscularis mucosae of large intestine
UBERON_0007178;muscularis mucosae of colon
UBERON_0006912;urinary bladder muscularis mucosa
UBERON_0016500;muscularis mucosa of fundus of urinary bladder
UBERON_0004221;intestine smooth muscle
UBERON_0004220;large intestine smooth muscle
UBERON_0012398;large intestine smooth muscle circular layer
UBERON_0012399;large intestine smooth muscle longitudinal layer
UBERON_0004239;small intestine smooth muscle
UBERON_0012401;small intestine smooth muscle circular layer
UBERON_0012402;small intestine smooth muscle longitudinal layer
UBERON_0004222;stomach smooth muscle
UBERON_0008856;stomach muscularis externa
UBERON_0008857;stomach smooth muscle circular layer
UBERON_0008862;stomach smooth muscle inner oblique layer
UBERON_0008863;stomach smooth muscle outer longitudinal layer
UBERON_0004227;kidney pelvis smooth muscle
CL_1000702;kidney pelvis smooth muscle cell
UBERON_0004228;urinary bladder smooth muscle
UBERON_0000381;urinary bladder detrusor smooth muscle
UBERON_0004229;urinary bladder trigone smooth muscle
UBERON_0004230;urinary bladder neck smooth muscle
UBERON_0004232;lymphatic vessel smooth muscle
UBERON_0004235;mammary gland smooth muscle
UBERON_0004238;spleen smooth muscle
UBERON_0004240;gall bladder smooth muscle
UBERON_0004243;prostate gland smooth muscle
UBERON_0004245;oviduct smooth muscle
UBERON_0004246;outflow tract smooth muscle
UBERON_0004695;arterial system smooth muscle
UBERON_0004834;hepatic duct smooth muscle
UBERON_0004835;epididymis smooth muscle
UBERON_0005109;metanephric smooth muscle tissue
UBERON_0005321;mesonephric smooth muscle tissue
UBERON_0008331;clitoral smooth muscle
UBERON_0009919;ureter smooth muscle
UBERON_0012615;umbilical smooth muscle
UBERON_0015717;smooth muscle tissue layer of ejaculatory duct
UBERON_0015783;smooth muscle layer in fatty layer of subcutaneous tissue
UBERON_0011386;facial modiolus
UBERON_0002036;striated muscle tissue
UBERON_0001133;cardiac muscle tissue
UBERON_0010131;conducting tissue of heart
UBERON_0002350;conducting system of heart
UBERON_0002063;sinus venosus
UBERON_0005091;left horn of sinus venosus
UBERON_0005092;right horn of sinus venosus
UBERON_0002351;sinoatrial node
CL_1000409;myocyte of sinoatrial node
CL_1000477;cardiac pacemaker cell of sinoatrial node
CL_1000478;transitional myocyte of sinoatrial node
UBERON_0002352;atrioventricular node
CL_1000410;myocyte of atrioventricular node
CL_1000479;Purkinje myocyte of atrioventricular node
UBERON_0004146;His-Purkinje system
CL_0010007;His-Purkinje system cell
CL_0010005;atrioventricular bundle cell
CL_1000375;myocardial endocrine cell of septal division of left branch of atrioventricular bundle
CL_1000481;transitional myocyte of atrioventricular bundle
CL_1000370;transitional myocyte of left branch of atrioventricular bundle
CL_1000368;transitional myocyte of anterior division of left branch of atrioventricular bundle
CL_1000369;transitional myocyte of septal division of left branch of atrioventricular bundle
CL_1000374;transitional myocyte of posterior division of left branch of atrioventricular bundle
CL_1000371;transitional myocyte of right branch of atrioventricular bundle
CL_1000372;transitional myocyte of atrial part of atrioventricular bundle
CL_1000373;transitional myocyte of ventricular part of atrioventricular bundle
CL_1000484;Purkinje myocyte of atrioventricular bundle
UBERON_0002353;atrioventricular bundle
UBERON_0005986;left branch of atrioventricular bundle
UBERON_0005987;right branch of atrioventricular bundle
UBERON_0002354;cardiac Purkinje fiber
UBERON_0005982;Bachmann's bundle
UBERON_0009966;internodal tract
UBERON_0015125;anterior internodal tract
UBERON_0015127;posterior internodal tract
UBERON_0015126;middle internodal tract
CL_0002096;internodal tract myocyte
CL_1000287;myocyte of anterior internodal tract
CL_1000288;myocyte of atrial branch of anterior internodal tract
CL_1000289;myocyte of atrial septal branch of anterior internodal tract
CL_1000290;myocyte of middle internodal tract
CL_1000291;myocyte of posterior internodal tract
CL_1000480;transitional myocyte of internodal tract
CL_1000363;transitional myocyte of atrial branch of anterior internodal tract
CL_1000364;transitional myocyte of anterior internodal tract
CL_1000365;transitional myocyte of atrial septal branch of anterior internodal tract
CL_1000366;transitional myocyte of middle internodal tract
CL_1000367;transitional myocyte of posterior internodal tract
CL_1000483;Purkinje myocyte of internodal tract
UBERON_0004492;cardiac muscle tissue of cardiac septum
UBERON_0003383;cardiac muscle tissue of interventricular septum
UBERON_0004491;cardiac muscle tissue of interatrial septum
UBERON_0004493;cardiac muscle tissue of myocardium
UBERON_0018649;cardiac muscle tissue of ventricle
UBERON_0003381;cardiac muscle of right ventricle
UBERON_0004525;cardiac muscle tissue of trabecula carnea of right ventricle
UBERON_0005066;right ventricular trabecular myocardium
UBERON_0003382;cardiac muscle of left ventricle
UBERON_0004526;cardiac muscle tissue of trabecula carnea of left ventricle
UBERON_0005064;left ventricular trabecular myocardium
UBERON_0003452;trabecula carnea cardiac muscle tissue
UBERON_0004494;cardiac muscle tissue of papillary muscle
UBERON_0004490;cardiac muscle tissue of atrium
UBERON_0003378;cardiac muscle of auricular region
UBERON_0009779;cardiac muscle tissue of right auricle
UBERON_0009780;cardiac muscle tissue of left auricle
UBERON_0003379;cardiac muscle of right atrium
UBERON_0003380;cardiac muscle of left atrium
CL_0000513;cardiac muscle myoblast
UBERON_0001134;skeletal muscle tissue
UBERON_0008713;pectoral girdle and thoracic body wall skeletal muscle
UBERON_0001112;latissimus dorsi muscle
UBERON_0001129;subscapularis muscle
UBERON_0001476;deltoid
UBERON_0004500;skeletal muscle tissue of deltoid
UBERON_0005461;levator scapulae muscle
UBERON_0004832;anal region skeletal muscle
UBERON_0001367;external anal sphincter
UBERON_0003269;skeletal muscle tissue of eye
UBERON_0004505;skeletal muscle tissue of orbicularis oculi
UBERON_0004508;skeletal muscle tissue of levator palpebrae superioris
UBERON_0001601;extra-ocular muscle
UBERON_0001604;levator palpebrae superioris
UBERON_0006531;oculomotor muscle
UBERON_0006533;rectus extraocular muscle
UBERON_0001602;medial rectus extraocular muscle
UBERON_0001603;lateral rectus extra-ocular muscle
UBERON_0006322;inferior rectus extraocular muscle
UBERON_0006323;superior rectus extraocular muscle
UBERON_0006532;oblique extraocular muscle
UBERON_0006321;superior oblique extraocular muscle
UBERON_0006320;inferior oblique extraocular muscle
UBERON_0003895;hypaxial myotome region
UBERON_0003898;skeletal muscle tissue of trunk
UBERON_0004495;skeletal muscle tissue of diaphragm
UBERON_0004496;skeletal muscle tissue of iliacus
UBERON_0004497;skeletal muscle tissue of gluteus maximus
UBERON_0004510;skeletal muscle tissue of pectoralis major
UBERON_0004511;skeletal muscle tissue of rectus abdominis
UBERON_0004513;skeletal muscle tissue of internal intercostal muscle
UBERON_0004514;skeletal muscle tissue of transversus thoracis
UBERON_0004831;esophagus skeletal muscle
UBERON_0003900;epaxial myotome region
UBERON_0004498;skeletal muscle tissue of quadriceps femoris
UBERON_0004499;skeletal muscle tissue of tibialis anterior
UBERON_0004501;skeletal muscle tissue of teres major
UBERON_0004502;skeletal muscle tissue of biceps brachii
UBERON_0004503;skeletal muscle tissue of digastric
UBERON_0004504;skeletal muscle tissue of mylohyoid
UBERON_0004506;skeletal muscle tissue of masseter
UBERON_0004507;skeletal muscle tissue of temporalis
UBERON_0004509;skeletal muscle tissue of trapezius
UBERON_0004512;skeletal muscle tissue of supraspinatus
UBERON_0004520;striated muscle tissue of prostate
UBERON_0004829;urethra skeletal muscle tissue
UBERON_0004830;respiratory system skeletal muscle
UBERON_0003384;skeletal muscle tissue of pharynx
UBERON_0004833;lip skeletal muscle
CL_0000188;cell of skeletal muscle
CL_0000355;multi-potent skeletal muscle stem cell
CL_0008002;skeletal muscle fiber
CL_0000189;slow muscle cell
CL_0002211;type I muscle cell
CL_0000190;fast muscle cell
CL_0002212;type II muscle cell
CL_0002214;type IIa muscle cell
CL_0002215;type IIb muscle cell
CL_0002213;white muscle cell
CL_0002210;red muscle cell
CL_0002216;intermediate muscle cell
CL_0008017;adult skeletal muscle myoblast
UBERON_0010059;hypoglossal cord
UBERON_0004667;interventricular septum muscular part
UBERON_0006821;cutaneous muscle
UBERON_0008428;ceratoglossus
UBERON_0008715;muscle tissue of prostate
UBERON_0011535;chondroglossus muscle
UBERON_0016886;muscle tissue of terminal part of digestive tract
UBERON_0003091;thyroid primordium
UBERON_0001761;future foramen cecum
UBERON_0003261;thyroid primordium endoderm
UBERON_0004128;optic vesicle
UBERON_0007118;umbilicus
UBERON_0005292;extraembryonic tissue
UBERON_0004877;visceral endoderm
UBERON_0005291;embryonic tissue
UBERON_0000095;cardiac neural crest
CL_2000073;migratory cardiac neural crest cell
UBERON_0003099;cranial neural crest
UBERON_0005491;glossopharyngeal neural crest
UBERON_0003849;mesencephalic neural crest
UBERON_0003852;rhombencephalon neural crest
UBERON_0007098;mandibular neural crest
UBERON_0007099;hyoid neural crest
UBERON_0003083;trunk neural crest
UBERON_0005428;vagal neural crest
UBERON_0010075;sacral neural crest
UBERON_0009133;pleuroperitoneal membrane
UBERON_0009746;head fold of embryonic disc
UBERON_0009747;tail fold of embryonic disc
UBERON_0010316;germ layer / neural crest
UBERON_0002342;neural crest
UBERON_0003851;diencephalon neural crest
UBERON_0003853;spinal cord neural crest
UBERON_0003850;telencephalon neural crest
CL_0007004;premigratory neural crest cell
UBERON_0000923;germ layer
UBERON_0000924;ectoderm
UBERON_0003373;ectoderm of footplate
UBERON_0005719;footplate apical ectodermal ridge
UBERON_0005234;optic eminence ectoderm
UBERON_0005660;2nd arch ectoderm
UBERON_0005661;3rd arch ectoderm
UBERON_0005662;4th arch ectoderm
UBERON_0009479;ectoderm of buccopharyngeal membrane
CL_0000221;ectodermal cell
CL_0000133;neurectodermal cell
CL_0000114;surface ectodermal cell
UBERON_0000930;stomodeum
UBERON_0005250;stomatodeum gland
UBERON_0009715;stomodeal lumen
UBERON_0004356;apical ectodermal ridge
UBERON_0005421;pectoral appendage apical ectodermal ridge
UBERON_0005422;pelvic appendage apical ectodermal ridge
UBERON_0006872;handplate apical ectodermal ridge
UBERON_0005085;ectodermal placode
UBERON_0002546;cranial placode
UBERON_0009122;adenohypophyseal placode
UBERON_0009955;neurogenic placode
UBERON_0035597;profundal placode
UBERON_0003078;epibranchial placode
UBERON_0009124;geniculate placode
UBERON_0009125;petrosal placode
UBERON_0009126;nodosal placode
UBERON_0003067;dorsolateral placode
UBERON_0003070;trigeminal placode complex
UBERON_0003069;otic placode
UBERON_0006273;otic pit
UBERON_0003073;lens placode
UBERON_0011814;non-neurogenic ectodermal placode
UBERON_0005089;sweat gland placode
UBERON_0005088;sebaceous gland placode
UBERON_0005087;tooth placode
UBERON_0011817;skin appendage placode
UBERON_0005086;hair follicle placode
UBERON_0000925;endoderm
UBERON_0005665;3rd arch endoderm
UBERON_0009550;endoderm of foregut-midgut junction
UBERON_0005664;2nd arch endoderm
UBERON_0005666;4th arch endoderm
UBERON_0009480;endoderm of buccopharyngeal membrane
CL_0000223;endodermal cell
UBERON_0005439;definitive endoderm
UBERON_0000926;mesoderm
CL_0000222;mesodermal cell
CL_0002546;embryonic blood vessel endothelial progenitor cell
UBERON_0003068;axial mesoderm
UBERON_0003063;prechordal plate
UBERON_0004880;chordamesoderm
UBERON_0034878;prechordal mesoderm
UBERON_0003886;future coelemic cavity lumen
UBERON_0002346;neurectoderm
UBERON_0006238;future brain
UBERON_0006240;future forebrain
UBERON_0006222;future diencephalon
UBERON_0006284;early prosencephalic vesicle
UBERON_0014371;future telencephalon
UBERON_0007277;presumptive hindbrain
UBERON_0013149;hindbrain vesicle
UBERON_0018239;rhombomere boundary
UBERON_0007281;presumptive midbrain hindbrain boundary
UBERON_0007288;presumptive forebrain midbrain boundary
UBERON_0009616;presumptive midbrain
UBERON_0006777;tectal plate
UBERON_0013147;early mesencephalic vesicle
UBERON_0013150;future brain vesicle
UBERON_0009676;early telencephalic vesicle
UBERON_0013148;early midbrain vesicle
UBERON_0005443;filum terminale
UBERON_0010269;filum terminale internum
UBERON_0010270;filum terminale externum
UBERON_0005497;non-neural ectoderm
UBERON_2007013;preplacodal ectoderm
UBERON_0005969;eye trabecular meshwork
UBERON_0011918;line of Schwalbe
UBERON_0008324;erectile tissue
UBERON_0006653;glans clitoris
UBERON_0011183;corpus spongiosum of penis
UBERON_0006609;corpus cavernosum
UBERON_0004713;corpus cavernosum penis
UBERON_0006639;crus of penis
UBERON_0015174;helicine artery of penis
UBERON_0006608;corpus cavernosum clitoridis
UBERON_0006640;crus of clitoris
UBERON_0018533;crus of penis or clitoris
UBERON_0009010;periurethral tissue
UBERON_0011818;superficial fascia
UBERON_0012327;pearly penile papule
UBERON_0012376;retromolar triangle
UBERON_0018303;adrenal tissue
UBERON_0010232;placodal ectoderm
CL_0000864;tissue-resident macrophage
CL_0000091;Kupffer cell
CL_0000581;peritoneal macrophage
CL_0000583;alveolar macrophage
CL_0000867;secondary lymphoid organ macrophage
CL_0000868;lymph node macrophage
CL_0000871;splenic macrophage
CL_0000878;central nervous system macrophage
CL_0000129;microglial cell
CL_0000881;perivascular macrophage
CL_0002247;pleural macrophage
CL_0002477;adipose macrophage
CL_0002478;F4/80-negative adipose macrophage
CL_0002479;F4/80-positive adipose macrophage
UBERON_0000913;interstitial fluid
